Région de l’établissement,Filière de formation très agrégée,Effectif total des candidats pour une formation,Effectif des admis néo bacheliers,Region Code
Auvergne-Rhône-Alpes,Licence,291,15,84
Auvergne-Rhône-Alpes,Licence,221,25,84
Auvergne-Rhône-Alpes,Licence,169,15,84
Auvergne-Rhône-Alpes,Licence,140,20,84
Auvergne-Rhône-Alpes,Licence,46,7,84
Auvergne-Rhône-Alpes,Licence,98,8,84
Auvergne-Rhône-Alpes,Licence,56,10,84
Auvergne-Rhône-Alpes,Licence,50,8,84
Auvergne-Rhône-Alpes,Licence,4046,267,84
Auvergne-Rhône-Alpes,Licence,2592,306,84
Auvergne-Rhône-Alpes,Licence,1636,149,84
Auvergne-Rhône-Alpes,Licence,388,18,84
Auvergne-Rhône-Alpes,Licence,50,5,84
Auvergne-Rhône-Alpes,Licence,50,6,84
Auvergne-Rhône-Alpes,Licence,44,4,84
Normandie,Licence,717,103,28
Normandie,Licence,501,36,28
Normandie,Licence,355,19,28
Normandie,Licence,604,76,28
Normandie,Licence,573,126,28
Auvergne-Rhône-Alpes,Licence,5157,437,84
Auvergne-Rhône-Alpes,Licence,5154,430,84
Auvergne-Rhône-Alpes,Licence,2682,327,84
Auvergne-Rhône-Alpes,Licence,70,6,84
Auvergne-Rhône-Alpes,Licence,86,9,84
Ile-de-France,Licence,2342,216,11
Ile-de-France,Licence,1521,25,11
Ile-de-France,Autre formation,622,47,11
Ile-de-France,Licence,1077,61,11
Ile-de-France,Licence,621,10,11
Ile-de-France,Licence,291,16,11
Ile-de-France,Autre formation,828,36,11
Ile-de-France,PACES,8650,759,11
Ile-de-France,Licence,11195,390,11
Ile-de-France,Autre formation,681,32,11
Ile-de-France,Licence,28,0,11
Ile-de-France,Licence,11,2,11
Ile-de-France,Licence,41,2,11
Ile-de-France,Licence,2616,207,11
Ile-de-France,Licence,598,44,11
Ile-de-France,Licence,2018,68,11
Ile-de-France,Licence,991,99,11
Ile-de-France,Licence,6630,104,11
Ile-de-France,Licence,5423,292,11
Ile-de-France,Licence,9842,546,11
Ile-de-France,Licence,1245,40,11
Ile-de-France,Licence,3062,61,11
Ile-de-France,Licence,1514,32,11
Ile-de-France,Licence,2567,63,11
Ile-de-France,Licence,111,10,11
Ile-de-France,Licence,213,5,11
Ile-de-France,Licence,598,7,11
Ile-de-France,Licence,574,78,11
Ile-de-France,Licence,48,0,11
Ile-de-France,Licence,1446,202,11
Ile-de-France,Licence,936,69,11
Ile-de-France,Licence,2809,266,11
Ile-de-France,Licence,514,5,11
Ile-de-France,Licence,2520,82,11
Ile-de-France,Licence,628,27,11
Ile-de-France,Licence,3264,50,11
Ile-de-France,Autre formation,1035,2,11
Ile-de-France,Licence,1724,93,11
Ile-de-France,Licence,250,31,11
Ile-de-France,Licence,2338,127,11
Ile-de-France,Licence,499,64,11
Ile-de-France,Licence,6049,432,11
Ile-de-France,Licence,611,37,11
Ile-de-France,Licence,388,18,11
Ile-de-France,Licence,406,35,11
Ile-de-France,Licence,360,27,11
Ile-de-France,Licence,307,27,11
Ile-de-France,Licence,1273,83,11
Ile-de-France,Licence,220,8,11
Ile-de-France,Licence,512,42,11
Ile-de-France,Licence,2215,152,11
Ile-de-France,Licence,517,13,11
Ile-de-France,Licence,1533,186,11
Ile-de-France,Licence,739,27,11
Ile-de-France,Autre formation,301,17,11
Ile-de-France,Licence,1533,32,11
Ile-de-France,Licence,1409,120,11
Ile-de-France,Licence,1360,26,11
Ile-de-France,Licence,1384,37,11
Occitanie,Licence,1445,145,76
Occitanie,Licence,11,0,76
Occitanie,Licence,557,70,76
Occitanie,Licence,106,11,76
Occitanie,Licence,383,45,76
Occitanie,Licence,81,2,76
Occitanie,Licence,182,26,76
Auvergne-Rhône-Alpes,Licence,247,26,84
Auvergne-Rhône-Alpes,Licence,364,25,84
Auvergne-Rhône-Alpes,Licence,252,28,84
Auvergne-Rhône-Alpes,Licence,191,8,84
Auvergne-Rhône-Alpes,Autre formation,65,3,84
Auvergne-Rhône-Alpes,Autre formation,51,10,84
Ile-de-France,Licence,1970,208,11
Ile-de-France,Licence,1113,20,11
Ile-de-France,Licence,588,116,11
Ile-de-France,Licence,244,19,11
Ile-de-France,Licence,185,22,11
Ile-de-France,Licence,320,25,11
Ile-de-France,Licence,463,22,11
Ile-de-France,Licence,102,8,11
Ile-de-France,Licence,3201,225,11
Ile-de-France,Licence,144,9,11
Ile-de-France,Licence,123,9,11
Occitanie,Licence,826,20,76
Occitanie,Licence,351,24,76
Occitanie,Licence,863,28,76
Occitanie,Licence,74,4,76
Occitanie,Licence,2059,303,76
Occitanie,Licence,2333,237,76
Occitanie,Licence,207,15,76
Occitanie,Licence,417,25,76
Occitanie,Licence,220,23,76
Occitanie,Licence,1807,83,76
Occitanie,Licence,161,16,76
Occitanie,Licence,66,2,76
Occitanie,Licence,1248,69,76
Occitanie,Licence,902,61,76
Occitanie,Licence,4764,485,76
Occitanie,Licence,1097,76,76
Provence Alpes Côte d'Azur,Licence,105,3,93
Provence Alpes Côte d'Azur,Licence,1043,178,93
Provence Alpes Côte d'Azur,Licence,542,77,93
Provence Alpes Côte d'Azur,Licence,121,15,93
Provence Alpes Côte d'Azur,Licence,209,20,93
Provence Alpes Côte d'Azur,Licence,340,52,93
Provence Alpes Côte d'Azur,Licence,5895,1033,93
Provence Alpes Côte d'Azur,Licence,85,10,93
Provence Alpes Côte d'Azur,Licence,2393,86,93
Provence Alpes Côte d'Azur,Licence,1898,48,93
Provence Alpes Côte d'Azur,Licence,675,38,93
Provence Alpes Côte d'Azur,Autre formation,79,8,93
Provence Alpes Côte d'Azur,Autre formation,390,23,93
Ile-de-France,Autre formation,2218,59,11
Bretagne,Autre formation,23,0,53
Bretagne,Autre formation,35,2,53
Auvergne-Rhône-Alpes,BTS,171,36,84
Grand Est,BTS,25,0,44
Auvergne-Rhône-Alpes,Autre formation,65,0,84
Auvergne-Rhône-Alpes,Autre formation,28,0,84
Auvergne-Rhône-Alpes,Autre formation,26,0,84
Auvergne-Rhône-Alpes,Autre formation,8,1,84
Auvergne-Rhône-Alpes,Autre formation,40,3,84
Auvergne-Rhône-Alpes,Autre formation,164,3,84
Auvergne-Rhône-Alpes,Autre formation,14,0,84
Bourgogne-Franche-Comté,Autre formation,202,2,27
Pays de la Loire,Autre formation,29,2,52
Nouvelle-Aquitaine,Autre formation,204,2,75
Grand Est,Autre formation,22,0,44
Occitanie,Autre formation,142,1,76
Ile-de-France,Autre formation,458,0,11
Auvergne-Rhône-Alpes,BTS,205,26,84
Auvergne-Rhône-Alpes,BTS,159,14,84
Grand Est,Licence,778,170,44
Grand Est,Licence,423,79,44
Grand Est,Licence,301,43,44
Auvergne-Rhône-Alpes,Autre formation,1097,78,84
Grand Est,BTS,47,11,44
Grand Est,BTS,32,6,44
Nouvelle-Aquitaine,BTS,124,14,75
Auvergne-Rhône-Alpes,BTS,479,46,84
Auvergne-Rhône-Alpes,BTS,121,17,84
Auvergne-Rhône-Alpes,Autre formation,659,107,84
Auvergne-Rhône-Alpes,BTS,912,88,84
Nouvelle-Aquitaine,BTS,315,38,75
Bourgogne-Franche-Comté,Autre formation,81,0,27
Occitanie,Autre formation,4,0,76
Ile-de-France,Autre formation,7687,114,11
Occitanie,Autre formation,695,29,76
Grand Est,Autre formation,2292,37,44
Grand Est,BTS,223,9,44
Grand Est,BTS,326,15,44
Auvergne-Rhône-Alpes,CPGE,619,22,84
Ile-de-France,Autre formation,57,10,11
Ile-de-France,BTS,364,5,11
Ile-de-France,Autre formation,61,0,11
Ile-de-France,Autre formation,672,11,11
Ile-de-France,Autre formation,50,2,11
Ile-de-France,Autre formation,553,9,11
Occitanie,Autre formation,1883,74,76
Grand Est,BTS,93,13,44
Pays de la Loire,BTS,115,16,52
Pays de la Loire,BTS,515,18,52
Pays de la Loire,BTS,172,16,52
Pays de la Loire,BTS,816,30,52
Occitanie,Autre formation,300,1,76
Occitanie,BTS,51,4,76
Occitanie,BTS,134,8,76
Auvergne-Rhône-Alpes,Autre formation,86,6,84
Normandie,Autre formation,115,11,28
Pays de la Loire,BTS,307,67,52
Occitanie,BTS,186,25,76
Ile-de-France,BTS,447,20,11
Grand Est,Autre formation,46,9,44
Ile-de-France,Autre formation,1234,34,11
Nouvelle-Aquitaine,Autre formation,42,17,75
Auvergne-Rhône-Alpes,Autre formation,79,15,84
Bourgogne-Franche-Comté,Autre formation,28,7,27
Pays de la Loire,Autre formation,119,46,52
Nouvelle-Aquitaine,Autre formation,995,12,75
Auvergne-Rhône-Alpes,Autre formation,1010,16,84
Grand Est,Autre formation,995,4,44
Grand Est,Autre formation,1317,29,44
Pays de la Loire,Autre formation,1336,16,52
Ile-de-France,Autre formation,8018,172,11
Nouvelle-Aquitaine,Autre formation,569,3,75
Auvergne-Rhône-Alpes,Autre formation,1109,118,84
Bourgogne-Franche-Comté,BTS,332,28,27
Nouvelle-Aquitaine,BTS,76,6,75
Auvergne-Rhône-Alpes,BTS,78,8,84
Grand Est,Autre formation,1078,9,44
Grand Est,Autre formation,19123,14,44
Pays de la Loire,BTS,103,17,52
Ile-de-France,Autre formation,235,18,11
Ile-de-France,BTS,123,8,11
Ile-de-France,Autre formation,176,1,11
Ile-de-France,Autre formation,160,2,11
Ile-de-France,BTS,247,11,11
Ile-de-France,Autre formation,410,11,11
Ile-de-France,Autre formation,843,8,11
Ile-de-France,Autre formation,1022,9,11
Bourgogne-Franche-Comté,Autre formation,1312,0,27
Ile-de-France,Autre formation,7599,300,11
Normandie,Autre formation,272,95,28
Normandie,Autre formation,19089,15,28
Bretagne,Licence,126,25,53
Bretagne,Licence,155,10,53
Bretagne,Licence,342,69,53
Bretagne,Licence,439,59,53
Pays de la Loire,Licence,74,22,52
Pays de la Loire,Licence,177,13,52
Pays de la Loire,Licence,214,26,52
Pays de la Loire,Licence,551,159,52
Pays de la Loire,Licence,463,85,52
Pays de la Loire,BTS,71,8,52
Pays de la Loire,BTS,350,41,52
Pays de la Loire,Autre formation,182,34,52
Occitanie,BTS,871,30,76
Normandie,DUT,261,29,28
Normandie,DUT,242,31,28
Provence Alpes Côte d'Azur,DUT,1231,42,93
Auvergne-Rhône-Alpes,DUT,419,25,84
Bourgogne-Franche-Comté,DUT,901,51,27
Bourgogne-Franche-Comté,DUT,604,35,27
Occitanie,DUT,1279,64,76
Occitanie,DUT,1424,72,76
Nouvelle-Aquitaine,DUT,390,44,75
Bretagne,DUT,686,52,53
Bretagne,DUT,230,15,53
Ile-de-France,DUT,2486,96,11
Normandie,DUT,1027,100,28
Normandie,DUT,593,29,28
Normandie,DUT,415,27,28
Normandie,DUT,824,50,28
Normandie,DUT,426,42,28
Normandie,DUT,1240,43,28
Ile-de-France,DUT,777,51,11
Bourgogne-Franche-Comté,DUT,308,30,27
Bourgogne-Franche-Comté,DUT,1512,112,27
Bourgogne-Franche-Comté,DUT,2281,49,27
Occitanie,DUT,799,32,76
Occitanie,DUT,1209,14,76
Bretagne,DUT,1438,108,53
Bretagne,DUT,462,16,53
Ile-de-France,DUT,970,48,11
Ile-de-France,DUT,2683,45,11
Ile-de-France,DUT,1482,45,11
Grand Est,DUT,1837,137,44
Occitanie,DUT,1667,20,76
Grand Est,DUT,259,19,44
Grand Est,DUT,435,57,44
Grand Est,DUT,210,25,44
Grand Est,DUT,840,21,44
Occitanie,DUT,867,71,76
Occitanie,DUT,667,56,76
Ile-de-France,DUT,1828,48,11
Ile-de-France,DUT,928,26,11
Occitanie,DUT,511,38,76
Occitanie,DUT,413,15,76
Occitanie,DUT,1943,91,76
Bretagne,DUT,1637,129,53
Bretagne,DUT,1925,148,53
Normandie,DUT,854,89,28
Bretagne,DUT,561,51,53
Bretagne,DUT,449,47,53
Bretagne,DUT,1718,77,53
Ile-de-France,DUT,632,36,11
Auvergne-Rhône-Alpes,DUT,1097,93,84
Bretagne,DUT,1815,111,53
Ile-de-France,DUT,2109,98,11
Ile-de-France,DUT,624,43,11
Occitanie,DUT,400,51,76
Provence Alpes Côte d'Azur,DUT,1713,115,93
Provence Alpes Côte d'Azur,DUT,568,45,93
Occitanie,DUT,2317,37,76
Occitanie,DUT,358,7,76
Occitanie,DUT,643,23,76
Occitanie,DUT,1204,52,76
Ile-de-France,DUT,462,19,11
Auvergne-Rhône-Alpes,DUT,1494,71,84
Bretagne,DUT,2776,118,53
Ile-de-France,DUT,906,37,11
Ile-de-France,DUT,2541,15,11
Nouvelle-Aquitaine,DUT,320,40,75
Normandie,DUT,484,30,28
Normandie,DUT,361,53,28
Ile-de-France,Autre formation,1049,12,11
Normandie,DUT,1326,114,28
Normandie,DUT,1746,123,28
Nouvelle-Aquitaine,DUT,686,67,75
Nouvelle-Aquitaine,DUT,455,45,75
Nouvelle-Aquitaine,DUT,1186,22,75
Grand Est,DUT,302,17,44
Provence Alpes Côte d'Azur,DUT,1698,62,93
Auvergne-Rhône-Alpes,DUT,2362,108,84
Auvergne-Rhône-Alpes,DUT,2393,152,84
Auvergne-Rhône-Alpes,DUT,719,14,84
Auvergne-Rhône-Alpes,DUT,1177,51,84
Auvergne-Rhône-Alpes,DUT,1382,13,84
Auvergne-Rhône-Alpes,DUT,533,42,84
Pays de la Loire,DUT,4251,145,52
Nouvelle-Aquitaine,DUT,487,39,75
Auvergne-Rhône-Alpes,Autre formation,1078,12,84
Provence Alpes Côte d'Azur,DUT,748,27,93
Provence Alpes Côte d'Azur,DUT,632,51,93
Nouvelle-Aquitaine,DUT,2208,103,75
Nouvelle-Aquitaine,DUT,300,42,75
Auvergne-Rhône-Alpes,DUT,1284,123,84
Auvergne-Rhône-Alpes,DUT,856,84,84
Auvergne-Rhône-Alpes,DUT,814,42,84
Grand Est,DUT,500,50,44
Grand Est,DUT,1424,93,44
Ile-de-France,DUT,1686,20,11
Grand Est,DUT,979,53,44
Ile-de-France,DUT,498,35,11
Grand Est,DUT,635,41,44
Ile-de-France,DUT,1315,38,11
Ile-de-France,DUT,1427,42,11
Ile-de-France,DUT,373,42,11
Ile-de-France,DUT,3169,94,11
Grand Est,DUT,1997,105,44
Grand Est,DUT,235,23,44
Grand Est,DUT,745,81,44
Nouvelle-Aquitaine,DUT,590,34,75
Nouvelle-Aquitaine,DUT,3277,163,75
Pays de la Loire,DUT,906,47,52
Pays de la Loire,DUT,3885,158,52
Nouvelle-Aquitaine,DUT,701,48,75
Nouvelle-Aquitaine,DUT,459,31,75
Nouvelle-Aquitaine,DUT,922,68,75
Grand Est,DUT,211,13,44
Pays de la Loire,DUT,950,36,52
Pays de la Loire,Licence,126,38,52
Pays de la Loire,Licence,296,52,52
Pays de la Loire,Licence,43,8,52
Pays de la Loire,Autre formation,68,4,52
Pays de la Loire,Licence,167,22,52
Auvergne-Rhône-Alpes,BTS,294,30,84
Pays de la Loire,Licence,931,220,52
Pays de la Loire,BTS,465,11,52
Pays de la Loire,BTS,264,60,52
Bourgogne-Franche-Comté,Autre formation,55,9,27
Bourgogne-Franche-Comté,Autre formation,18,0,27
Ile-de-France,Licence,5,0,11
Ile-de-France,Licence,758,115,11
Ile-de-France,Licence,83,12,11
Ile-de-France,Licence,97,9,11
Ile-de-France,Licence,39,3,11
Ile-de-France,Licence,19,3,11
Ile-de-France,Licence,205,28,11
Ile-de-France,Licence,1237,133,11
Bretagne,Autre formation,18431,234,53
Occitanie,Autre formation,669,47,76
Nouvelle-Aquitaine,BTS,67,25,75
Nouvelle-Aquitaine,BTS,39,0,75
Auvergne-Rhône-Alpes,Autre formation,249,9,84
Auvergne-Rhône-Alpes,Autre formation,200,8,84
Auvergne-Rhône-Alpes,Licence,1719,289,84
Auvergne-Rhône-Alpes,Licence,1561,84,84
Auvergne-Rhône-Alpes,Autre formation,166,6,84
Occitanie,Licence,217,33,76
Ile-de-France,Licence,45,6,11
Ile-de-France,Licence,259,25,11
Ile-de-France,Licence,1429,150,11
Nouvelle-Aquitaine,BTS,138,19,75
Nouvelle-Aquitaine,BTS,70,11,75
Occitanie,Autre formation,968,18,76
Auvergne-Rhône-Alpes,BTS,376,49,84
Bourgogne-Franche-Comté,BTS,199,14,27
Pays de la Loire,BTS,304,16,52
Occitanie,BTS,422,38,76
Occitanie,Autre formation,292,29,76
Normandie,Autre formation,34,10,28
Occitanie,Licence,823,154,76
Ile-de-France,Autre formation,630,8,11
Ile-de-France,BTS,515,28,11
Auvergne-Rhône-Alpes,BTS,105,8,84
Auvergne-Rhône-Alpes,BTS,214,27,84
Auvergne-Rhône-Alpes,BTS,250,50,84
Grand Est,DUT,396,36,44
Auvergne-Rhône-Alpes,CPGE,1076,37,84
Auvergne-Rhône-Alpes,CPGE,87,13,84
Auvergne-Rhône-Alpes,BTS,65,10,84
Bretagne,BTS,411,29,53
Ile-de-France,Licence,711,18,11
Ile-de-France,Licence,153,25,11
Bretagne,Autre formation,7776,30,53
Ile-de-France,Autre formation,66,7,11
Nouvelle-Aquitaine,BTS,65,9,75
Ile-de-France,Autre formation,68,3,11
Pays de la Loire,Autre formation,296,86,52
Auvergne-Rhône-Alpes,BTS,246,26,84
Auvergne-Rhône-Alpes,Autre formation,1075,3,84
Auvergne-Rhône-Alpes,Autre formation,41,6,84
Auvergne-Rhône-Alpes,DUT,1986,73,84
Provence Alpes Côte d'Azur,DUT,447,28,93
Nouvelle-Aquitaine,DUT,976,22,75
Nouvelle-Aquitaine,DUT,2176,27,75
Nouvelle-Aquitaine,DUT,365,13,75
Auvergne-Rhône-Alpes,DUT,1553,54,84
Auvergne-Rhône-Alpes,DUT,107,11,84
Auvergne-Rhône-Alpes,DUT,1251,49,84
Grand Est,DUT,429,39,44
Auvergne-Rhône-Alpes,DUT,863,48,84
Auvergne-Rhône-Alpes,DUT,3622,124,84
Auvergne-Rhône-Alpes,DUT,1825,181,84
Auvergne-Rhône-Alpes,DUT,7108,222,84
Grand Est,DUT,395,25,44
Occitanie,BTS,214,28,76
Occitanie,BTS,196,20,76
Occitanie,BTS,566,20,76
Occitanie,BTS,376,31,76
Occitanie,BTS,109,12,76
Auvergne-Rhône-Alpes,BTS,29,6,84
Auvergne-Rhône-Alpes,BTS,97,4,84
Nouvelle-Aquitaine,BTS,211,13,75
Nouvelle-Aquitaine,BTS,107,13,75
Auvergne-Rhône-Alpes,BTS,93,6,84
Pays de la Loire,BTS,592,29,52
Pays de la Loire,BTS,795,27,52
Pays de la Loire,BTS,812,28,52
Pays de la Loire,CPGE,214,20,52
Pays de la Loire,Autre formation,402,21,52
Nouvelle-Aquitaine,Autre formation,18,2,75
Normandie,Autre formation,22,6,28
Auvergne-Rhône-Alpes,BTS,461,30,84
Auvergne-Rhône-Alpes,BTS,454,28,84
Pays de la Loire,BTS,282,17,52
Pays de la Loire,BTS,206,25,52
Pays de la Loire,BTS,200,20,52
Pays de la Loire,BTS,394,26,52
Pays de la Loire,Autre formation,429,35,52
Pays de la Loire,BTS,681,45,52
Provence Alpes Côte d'Azur,BTS,174,19,93
Ile-de-France,BTS,323,7,11
Provence Alpes Côte d'Azur,BTS,598,22,93
Pays de la Loire,BTS,373,30,52
Bourgogne-Franche-Comté,BTS,234,8,27
Ile-de-France,BTS,100,8,11
Nouvelle-Aquitaine,BTS,130,13,75
Bretagne,BTS,140,16,53
Nouvelle-Aquitaine,BTS,229,5,75
Nouvelle-Aquitaine,BTS,214,23,75
Pays de la Loire,BTS,112,8,52
Provence Alpes Côte d'Azur,BTS,88,6,93
Occitanie,BTS,125,17,76
Bourgogne-Franche-Comté,BTS,257,28,27
Nouvelle-Aquitaine,BTS,272,26,75
Auvergne-Rhône-Alpes,BTS,271,16,84
Nouvelle-Aquitaine,BTS,138,15,75
Occitanie,BTS,49,9,76
Provence Alpes Côte d'Azur,BTS,174,8,93
Bourgogne-Franche-Comté,BTS,319,23,27
Bourgogne-Franche-Comté,BTS,257,10,27
Grand Est,BTS,136,23,44
